session_id	query_text	serp_pos	url	is_click	total_view_time
470413	684	0	450101	True	3612
470413	684	1	791771	False	-1
470413	684	2	135011	False	-1
470413	684	3	619093	False	-1
470413	684	4	904500	False	-1
470413	684	5	841054	False	-1
470413	684	6	3973	False	-1
470413	684	7	461240	False	-1
470413	684	8	980454	False	-1
470413	684	9	520416	False	-1
239863	684	0	450101	True	780
239863	684	1	791771	False	-1
239863	684	2	135011	False	-1
239863	684	3	619093	False	-1
239863	684	4	904500	False	-1
239863	684	5	841054	False	-1
239863	684	6	3973	False	-1
239863	684	7	461240	False	-1
239863	684	8	980454	False	-1
239863	684	9	520416	False	-1
14734	684	0	450101	True	18
14734	684	1	791771	False	-1
14734	684	2	135011	False	-1
14734	684	3	619093	False	-1
14734	684	4	904500	False	-1
14734	684	5	841054	False	-1
14734	684	6	3973	False	-1
14734	684	7	461240	False	-1
14734	684	8	980454	False	-1
14734	684	9	520416	False	-1
228927	684	0	450101	True	5226
228927	684	1	791771	False	-1
228927	684	2	135011	False	-1
228927	684	3	619093	False	-1
228927	684	4	904500	False	-1
228927	684	5	841054	False	-1
228927	684	6	3973	False	-1
228927	684	7	461240	False	-1
228927	684	8	980454	False	-1
228927	684	9	520416	False	-1
77091	684	0	450101	True	4020
77091	684	1	791771	False	-1
77091	684	2	135011	False	-1
77091	684	3	619093	False	-1
77091	684	4	904500	False	-1
77091	684	5	841054	False	-1
77091	684	6	3973	False	-1
77091	684	7	461240	False	-1
77091	684	8	980454	False	-1
77091	684	9	520416	False	-1
98990	684	0	450101	True	644
98990	684	1	791771	False	-1
98990	684	2	135011	False	-1
98990	684	3	619093	False	-1
98990	684	4	904500	False	-1
98990	684	5	841054	False	-1
98990	684	6	3973	False	-1
98990	684	7	461240	False	-1
98990	684	8	980454	False	-1
98990	684	9	520416	False	-1
415578	684	0	450101	True	4488
415578	684	1	791771	False	-1
415578	684	2	135011	False	-1
415578	684	3	619093	False	-1
415578	684	4	904500	False	-1
415578	684	5	841054	False	-1
415578	684	6	3973	False	-1
415578	684	7	461240	False	-1
415578	684	8	980454	False	-1
415578	684	9	520416	False	-1
193963	684	0	450101	False	-1
193963	684	1	791771	False	-1
193963	684	2	135011	False	-1
193963	684	3	619093	False	-1
193963	684	4	904500	False	-1
193963	684	5	841054	False	-1
193963	684	6	3973	True	-1
193963	684	7	461240	True	-1
193963	684	8	980454	False	-1
193963	684	9	520416	True	-1
67651	684	0	450101	True	2818
67651	684	1	791771	False	-1
67651	684	2	135011	False	-1
67651	684	3	619093	False	-1
67651	684	4	904500	False	-1
67651	684	5	841054	False	-1
67651	684	6	3973	False	-1
67651	684	7	461240	False	-1
67651	684	8	980454	False	-1
67651	684	9	520416	False	-1
443986	684	0	450101	True	174
443986	684	1	791771	False	-1
443986	684	2	135011	False	-1
443986	684	3	619093	False	-1
443986	684	4	904500	False	-1
443986	684	5	841054	False	-1
443986	684	6	3973	False	-1
443986	684	7	461240	False	-1
443986	684	8	980454	False	-1
443986	684	9	520416	False	-1
224346	684	0	450101	True	252
224346	684	1	791771	True	38
224346	684	2	135011	True	30
224346	684	3	619093	False	-1
224346	684	4	904500	False	-1
224346	684	5	841054	True	-1
224346	684	6	3973	False	-1
224346	684	7	461240	False	-1
224346	684	8	980454	False	-1
224346	684	9	520416	False	-1
237954	1354	0	402049	True	5346
237954	1354	1	468805	False	-1
237954	1354	2	488245	False	-1
237954	1354	3	517364	False	-1
237954	1354	4	459463	False	-1
237954	1354	5	238653	False	-1
237954	1354	6	445218	False	-1
237954	1354	7	386929	False	-1
237954	1354	8	476444	False	-1
237954	1354	9	14832	False	-1
503100	1354	0	402049	True	4778
503100	1354	1	468805	False	-1
503100	1354	2	488245	False	-1
503100	1354	3	517364	False	-1
503100	1354	4	459463	False	-1
503100	1354	5	238653	False	-1
